word, event, baseline, diff
victim,0.0461,0.0037,0.0424
college,0.0461,0.0361,0.0100
current,0.0461,0.0337,0.0124
eight,0.0461,0.0310,0.0152
criminal,0.0455,0.0092,0.0363
social,0.0448,0.0646,-0.0198
far,0.0448,0.0631,-0.0183
twitter,0.0441,0.0003,0.0438
political,0.0441,0.0374,0.0067
pavement,0.0441,0.0040,0.0401
23,0.0434,0.0069,0.0366
colleagues,0.0434,0.0193,0.0241
solidarity,0.0428,0.0017,0.0410
rhodes,0.0428,0.0010,0.0417
white,0.0428,0.0624,-0.0197
long,0.0421,0.1153,-0.0732
thames,0.0421,0.0003,0.0418
teacher,0.0414,0.0111,0.0303
june,0.0414,0.0151,0.0263
critical,0.0414,0.0316,0.0099
killed,0.0408,0.0149,0.0259
david,0.0408,0.0061,0.0347
page,0.0408,0.0082,0.0325
24,0.0408,0.0074,0.0334
syria,0.0401,0.0005,0.0396
thank,0.0401,0.0183,0.0218
already,0.0401,0.0476,-0.0075
50,0.0394,0.0239,0.0156
different,0.0394,0.0438,-0.0044
able,0.0394,0.0434,-0.0040
rudd,0.0388,0.0001,0.0387
ongoing,0.0388,0.0005,0.0383
russell,0.0388,0.0016,0.0371
general,0.0388,0.0756,-0.0368
article,0.0381,0.0082,0.0299
please,0.0381,0.0117,0.0264
november,0.0374,0.0089,0.0285
july,0.0368,0.0093,0.0275
policy,0.0368,0.0669,-0.0301
children,0.0361,0.0603,-0.0242
france,0.0361,0.0089,0.0271
conservative,0.0361,0.0061,0.0300
anniversary,0.0354,0.0032,0.0322
including,0.0314,0.0217,0.0097
months,0.0281,0.0199,0.0082
students,0.0274,0.0192,0.0082
investigated,0.0114,0.0023,0.0091
pedestrians,0.0074,0.0027,0.0047
condolences,0.0040,0.0002,0.0038
londoners,0.0033,0.0002,0.0031
politicians,0.0033,0.0019,0.0015
media,0.0020,0.0117,-0.0097
elms,0.0007,0.0004,0.0003
``,0.0000,0.0000,0.0000
'',0.0000,0.0000,0.0000
masood,0.0000,0.0000,0.0000
